正規化後罪名(去未遂),次數,疑似雜訊,原始寫法範例(最多3個)
竊盜罪,2151,,竊盜罪 | 刑法第320條第1項之竊盜罪 | 竊盜未遂罪
三人以上共同詐欺取財罪,1744,,三人以上共同詐欺取財罪 | 三人以上共同詐欺取財未遂罪 | 三人以上共同詐欺取財罪及洗錢防制法第19條第1項後段之洗錢罪
洗錢罪,1621,,洗錢防制法第十四條第一項之洗錢罪 | 幫助洗錢罪 | 洗錢防制法第十九條第一項後段之洗錢罪
過失傷害罪,1253,,過失傷害罪 | 前段之過失傷害罪 | 前段過失傷害罪
一般洗錢罪,961,,一般洗錢罪 | 洗錢防制法第十四條第一項之一般洗錢罪 | 幫助一般洗錢罪
詐欺取財罪,867,,詐欺取財罪 | 詐欺取財罪及洗錢防制法第14條第1項之洗錢罪 | 詐欺取財未遂罪
施用第二級毒品罪,644,,施用第二級毒品罪 | 毒品危害防制條例第10條第2項之施用第二級毒品罪 | 幫助施用第二級毒品罪
傷害罪,613,,傷害罪 | 刑法第277條第1項之傷害罪 | 刑法第277條第1項傷害罪
如附表所示各罪,474,是,如附表所示各罪
吐氣所含酒精濃度達每公升0.25毫克以上而駕駛動力交通工具罪,406,,吐氣所含酒精濃度達每公升0.25毫克以上而駕駛動力交通工具罪 | 刑法第185條之3第1項第1款之吐氣所含酒精濃度達每公升0.25毫克以上而駕駛動力交通工具罪 | 前段之吐氣所含酒精濃度達每公升0.25毫克以上而駕駛動力交通工具罪
不能安全駕駛動力交通工具罪,371,,不能安全駕駛動力交通工具罪 | 刑法第185條之3第1項第1款之不能安全駕駛動力交通工具罪 | 刑法第一百八十五條之三第一項第一款之不能安全駕駛動力交通工具罪
侵占遺失物罪,286,,侵占遺失物罪 | 刑法第337條之侵占遺失物罪 | 侵占遺失物罪及同法第339條第1項之詐欺取財罪
參與犯罪組織罪,257,,後段之參與犯罪組織罪 | 後段參與犯罪組織罪 | 洗錢罪及組織犯罪防制條例第3條第1項後段之參與犯罪組織罪
三人以上共同犯詐欺取財罪,243,,三人以上共同犯詐欺取財罪 | 三人以上共同犯詐欺取財罪及洗錢防制法第2條第2款隱匿特定犯罪所得之去向而依同法第14條第1項論處之洗錢罪 | 刑法第339條之4第1項第2款之三人以上共同犯詐欺取財罪
恐嚇危害安全罪,230,,恐嚇危害安全罪 | 刑法第305條之恐嚇危害安全罪 | 強制罪及同法第305條之恐嚇危害安全罪
罪事實及理由一、本件犯罪,203,是,罪事實及理由一、本件犯罪
